﻿﻿﻿Test Case ID,User Query,Category,Expected Intent,Predicted Intent,Extracted Entities,Search Strategy,Expected Result (ID),Actual Result (ID),Evaluation,Intent Processing Time (ms),Backend Processing Time (ms),Total Response Time (ms),Run_Status
TC_026,Tìm nhạc Indie của SIVAN có vibe sâu lắng,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,genre=indie; artist=SIVAN,Level 1: SQL Filter Join,1rVTKF2XF1l3OqHoXNa4kc,1rVTKF2XF1l3OqHoXNa4kc,PASS,7.42,3204.77,3215.55,
TC_027,Có bài nào của Trịnh Thăng Bình mà buồn không?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=buồn; artist=Trịnh Thăng Bình,Level 1: SQL Filter Join,1Szl9lPaJ750Hn2hRX9QI0,1Szl9lPaJ750Hn2hRX9QI0,PASS,14.68,1841.13,1858.29,
TC_028,Những bài Pop của Miu Lê có giai điệu kịch tính,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=kich tinh; genre=pop; artist=Miu Lê,Level 1: SQL Filter Join,4ZBrQHTe9pKYEtUWUMO5bB,4ZBrQHTe9pKYEtUWUMO5bB,PASS,11.23,1282.36,1295.48,
TC_029,tim nhac rap cua tlinh vibe binh yen,Noise & Robustness,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=chill; genre=rap; artist=tlinh,Level 1: SQL Filter Join,5ouxRyInSdRBQubu3KTd97,5ouxRyInSdRBQubu3KTd97,PASS,8.32,1594.21,1606.48,
TC_030,Cho mình nghe nhạc của Tùng Dương thể loại Indie yêu đời,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=vui; genre=indie; artist=Tùng Dương,Level 1: SQL Filter Join,6ow5JZLwTeMlky1r0C1GcZ,6ow5JZLwTeMlky1r0C1GcZ,PASS,5.14,1019.14,1027.21,
TC_031,Nhạc của BIG WIND về chủ đề tình yêu lãng mạn,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=tình yêu; artist=BIG WIND,Level 1: SQL Filter Join,3mP6obvDBm2OEAMuGK7EQ8,3mP6obvDBm2OEAMuGK7EQ8,PASS,1.95,966.93,970.68,
TC_032,rcm bài bùn của MiiNa dòng Balad,Noise & Robustness,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=buồn; genre=ballad; artist=MiiNa,Level 1: SQL Filter Join,0iqM1sFRGxdmU59D0ZFSiV,0iqM1sFRGxdmU59D0ZFSiV,PASS,9.64,1007.49,1018.96,
TC_033,Có bài nào của Văn Mai Hương vibe da diết không?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=da diết; artist=Văn Mai Hương,Level 1: SQL Filter Join,05X3a0YGmS1rbH50aL8lGF,05X3a0YGmS1rbH50aL8lGF,PASS,6.64,1182.31,1191.03,
TC_034,Nhạc của Rayo thể loại Ballad sâu lắng,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,genre=ballad; artist=Rayo,Level 1: SQL Filter Join,6wCgG637sXqVObsbCoHz0S,6wCgG637sXqVObsbCoHz0S,PASS,8.99,1214.28,1230.28,
TC_035,Nhạc Pop buồn của Vicky Nhung,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=buồn; genre=pop; artist=Vicky Nhung,Level 1: SQL Filter Join,1gZi8QJepq23St5aCe9ws1,1gZi8QJepq23St5aCe9ws1,PASS,2.77,1200.0,1210.45,
TC_036,Tìm nhạc Indie Pop chill chill của SIVAN,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,"mood=chill; genre=indie, pop; artist=SIVAN",Level 1: SQL Filter Join,7FvtXQhi9UcSmHuUisbdzN,7FvtXQhi9UcSmHuUisbdzN,PASS,4.16,1202.81,1210.2,
TC_037,Bài nào của tlinh có vibe chữa lành không?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=chill; artist=tlinh,Level 1: SQL Filter Join,5ouxRyInSdRBQubu3KTd97,5ouxRyInSdRBQubu3KTd97,PASS,3.94,1085.62,1092.17,
TC_038,tìm nhạc ráp gai gók của seachain,Noise & Robustness,DISCOVER_MUSIC,DISCOVER_MUSIC,genre=rap; artist=Seachains,Level 1: SQL Filter Join,1xmkZ0eO7DPKVgfemDpdz7,1xmkZ0eO7DPKVgfemDpdz7,PASS,7.51,1175.15,1184.43,
TC_039,Có bản Pop nào kịch tính của Châu Khải Phong không?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=kich tinh; genre=pop; artist=Châu Khải Phong,Level 1: SQL Filter Join,0kBO0inNlX9DoGdFSbCHhf,0kBO0inNlX9DoGdFSbCHhf,PASS,9.61,1169.41,1181.39,
TC_040,Nhạc của Mỹ Mỹ có vibe tươi mới yêu đời,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,"mood=vui, tuoi moi; artist=Mỹ Mỹ",Level 1: SQL Filter Join,4l71t0ykLXxliEV263Hk6o,4l71t0ykLXxliEV263Hk6o,PASS,7.74,1234.26,1244.75,
TC_041,Tìm bài hát của Coldzy thể loại Rap buồn,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=buồn; genre=rap; artist=Coldzy,Level 1: SQL Filter Join,6sIWcLjuMvOcxAfMOx1kbB,6sIWcLjuMvOcxAfMOx1kbB,PASS,15.11,1255.69,1272.62,
TC_042,Nhạc của NAOMI vibe da diết sâu lắng,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=da diết; artist=NAOMI,Level 1: SQL Filter Join,4tV5GlNWSE0bajdrDOzCQP,4tV5GlNWSE0bajdrDOzCQP,PASS,11.0,1097.54,1113.9,
TC_043,Tìm nhạc của Miu Lê chủ đề kỷ niệm hoài niệm,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=kỷ niệm; artist=Miu Lê,Level 1: SQL Filter Join,7GPlwRnUdLIH2dqe5xpnyZ,7GPlwRnUdLIH2dqe5xpnyZ,PASS,11.32,1304.56,1318.48,
TC_044,Cho mình nhạc của JSOL vibe bùng nổ sôi động,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=quẩy; artist=JSOL,Level 1: SQL Filter Join,1N2o6ThLZKOoXmKRjpnqs2,1N2o6ThLZKOoXmKRjpnqs2,PASS,11.13,1202.92,1215.76,
TC_045,Những bài Indie của Vũ. có vibe sâu lắng thấu cảm,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,genre=indie; artist=Vũ.,Level 1: SQL Filter Join,41DlPJXKTCypXdf2eSqa03,41DlPJXKTCypXdf2eSqa03,PASS,12.68,1477.77,1492.82,
TC_046,Tìm bài hát của The Flob thể loại Pop buồn bã,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=buồn; genre=pop; artist=The Flob,Level 1: SQL Filter Join,6mGcGybclF4U7CmUWxF1QI,6mGcGybclF4U7CmUWxF1QI,PASS,12.11,1399.59,1413.72,
TC_047,Có nhạc Rap nào của tlinh về tình yêu không?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=tình yêu; genre=rap; artist=tlinh,Level 1: SQL Filter Join,4qJSUFwZFouto5VZUlln75,4qJSUFwZFouto5VZUlln75,PASS,9.4,1208.92,1220.72,
TC_048,kiếm mấy bài balat sâu lắg của MiNa đi,Noise & Robustness,DISCOVER_MUSIC,DISCOVER_MUSIC,genre=ballad; artist=MiiNa,Level 1: SQL Filter Join,0iqM1sFRGxdmU59D0ZFSiV,0iqM1sFRGxdmU59D0ZFSiV,PASS,6.73,701.79,711.36,
TC_049,Nhạc của Trịnh Thăng Bình chủ đề chia tay,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=chia tay; artist=Trịnh Thăng Bình,Level 1: SQL Filter Join,1Szl9lPaJ750Hn2hRX9QI0,1Szl9lPaJ750Hn2hRX9QI0,PASS,6.14,782.87,791.32,
TC_050,Tìm nhạc Indie có vibe bình yên của SIVAN,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=chill; genre=indie; artist=SIVAN,Level 1: SQL Filter Join,7FvtXQhi9UcSmHuUisbdzN,7FvtXQhi9UcSmHuUisbdzN,PASS,3.74,805.24,816.14,
TC_051,Bài nào của Rayo mà buồn sâu lắng?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=buồn; artist=Rayo,Level 1: SQL Filter Join,3Eclq19yJP8aLKQ1DaMizs,3Eclq19yJP8aLKQ1DaMizs,PASS,9.59,994.76,1007.04,
TC_052,Tìm nhạc Pop lãng mạn của Mymy,Noise & Robustness,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=tình yêu; genre=pop; artist=Mỹ Mỹ,Level 1: SQL Filter Join,20Njl4876DOJSFGgth2dH2,20Njl4876DOJSFGgth2dH2,PASS,31.58,1416.46,1450.99,
TC_053,Nhạc của Coldzy có vibe yêu đời tươi mới không?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,"mood=vui, tuoi moi; artist=Coldzy",Level 1: SQL Filter Join,4Nx5rlcICHUMKXnKKmbpbq,4Nx5rlcICHUMKXnKKmbpbq,PASS,5.38,1174.66,1189.66,
TC_054,Phân tích bài này cho mình với,Edge Cases,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,3.42,389.26,397.69,
TC_055,Bản demo này nghe có ổn không bạn?,Variation & Paraphrasing,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,85.67,231.45,323.43,
TC_056,Check hộ mình xác suất thành hit của bản thu này,Variation & Paraphrasing,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,56.07,206.24,265.21,
TC_057,Producer ơi đánh giá hộ mình bản phối này,Variation & Paraphrasing,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,12596.77,606.02,13206.38,
TC_058,Mình vừa upload demo lên rồi check giúp nhé,Variation & Paraphrasing,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,5.18,358.06,368.07,
TC_059,Đánh giá demo,Happy Path,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,1.13,298.93,303.31,
TC_060,Xem giúp mình bài này có tiềm năng thành hit không,Variation & Paraphrasing,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,5.16,417.67,428.77,
TC_061,Bản demo mới của mình đây bạn xem đi,Happy Path,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,11.16,230.93,244.62,
TC_062,Nghe và nhận xét bài này nha,Noise & Robustness,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,78.31,583.09,663.59,
TC_063,Mình cần lời khuyên về bản thu này,Happy Path,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,11.93,218.2,235.22,
TC_064,Hôm nay mình có bài mới bạn phân tích giúp,Variation & Paraphrasing,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,4934.7,538.73,5478.22,
TC_065,Check hộ mình cái demo,Variation & Paraphrasing,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,1.45,300.03,306.36,
TC_066,Hãy đóng vai producer nhận xét bài này,Happy Path,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,2.92,267.47,272.47,
TC_067,Phân tích shap values cho demo của mình,Edge Cases,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,3.76,329.05,335.43,
TC_068,Cho mình xin cái feedback về bài hát mới thu,Variation & Paraphrasing,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,3.74,368.77,376.68,
TC_069,Bài này cần cải thiện gì để lên top trending?,Variation & Paraphrasing,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,3.38,300.64,307.16,
TC_070,Sửa giúp mình bản demo này,Variation & Paraphrasing,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,1.5,319.23,324.76,
TC_071,Phân tích âm thanh bài này,Edge Cases,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,1.44,249.85,253.61,
TC_072,Nghe thử demo của mình nè,Happy Path,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,11.77,232.46,247.66,
TC_073,Bài này là bài gì?,Variation & Paraphrasing,ANALYZE_AUDIO,ANALYZE_AUDIO,,,,Dynamic Playlist,PASS,4.3,221.5,324.54,
TC_074,Chào bot,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,5.14,628.14,643.46,
TC_075,Hello VMusic AI,Noise & Robustness,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,3.31,250.46,261.49,
TC_076,Hi bạn,Noise & Robustness,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,5.99,222.4,237.14,
TC_077,Xin chào,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,3.11,218.9,229.96,
TC_078,Chào buổi sáng,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,4.23,230.82,244.72,
TC_079,Chào buổi tối chatbot,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,6.63,206.2,220.5,
TC_080,Alo,Noise & Robustness,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,3.28,219.45,227.81,
TC_081,Ê bot,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,6.63,219.59,232.84,
TC_082,Helo,Noise & Robustness,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,2.66,224.91,232.27,
TC_083,Hi,Noise & Robustness,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,4.02,218.54,227.21,
TC_084,Chào cậu,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,3.98,216.01,227.49,
TC_085,Chào đằng ấy,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,4.48,245.81,255.67,
TC_086,Xin chào trợ lý âm nhạc,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,4.73,196.56,207.18,
TC_087,Hey,Noise & Robustness,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,4.1,206.47,216.11,
TC_088,Bắt đầu nào,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,8.85,253.61,266.92,
TC_089,Tôi muốn nghe bài,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,9.8,807.8,824.65,
TC_090,Mở bài,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,5.31,443.85,457.54,
TC_091,Tìm nhạc của,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,31.73,336.72,372.08,
TC_092,Gợi ý bài hát,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,9.34,376.81,390.79,
TC_093,Nghe nhạc của,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,28.0,327.64,358.55,
TC_094,Nhạc của ca sĩ bài,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,35.57,265.9,304.36,
TC_095,Tìm ca sĩ,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,1.32,258.96,264.49,
TC_096,Bạn có thể tìm bài cho tôi không?,Variation & Paraphrasing,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,1.99,268.21,276.95,
TC_097,Giúp tìm bài hát này,Variation & Paraphrasing,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,2.67,267.44,281.89,
TC_098,Tôi cần bạn gợi ý bài hát,Happy Path,GENERAL_CHAT,GENERAL_CHAT,,,,Dynamic Playlist,PASS,1.39,241.59,246.14,
TC_099,Có bài nào kiểu Bống Bống Bang Bang không rcm với,Variation & Paraphrasing,SEARCH_TRACK,SEARCH_TRACK,song_title=bống bống bang bang,Level 1: SQL Exact,003iEoAGOlKmq0BgygQzjZ,003iEoAGOlKmq0BgygQzjZ,PASS,2.04,1703.49,1707.94,
TC_100,Mở bài Một Người Đánh Mất Một Người của Olew,Edge Cases,SEARCH_TRACK,SEARCH_TRACK,song_title=một người đánh mất một người; artist=Olew,Level 1: SQL Exact,00be0bf1yiRaJB8PMXG9uj,00be0bf1yiRaJB8PMXG9uj,PASS,7.14,1463.14,1472.51,
TC_101,Bật bài Cứ Chill Thôi,Edge Cases,SEARCH_TRACK,SEARCH_TRACK,song_title=cứ chill thôi,Level 1: SQL Exact,014DA3BdnmD3kI5pBogH7c,014DA3BdnmD3kI5pBogH7c,PASS,1.19,997.78,1000.67,
TC_102,Phát bài Sao Cũng Được của Tiến Luật,Edge Cases,SEARCH_TRACK,SEARCH_TRACK,song_title=sao cũng được; artist=Tiến Luật,Level 1: SQL Exact,00dxxxvhRedffBoxOqJZET,00dxxxvhRedffBoxOqJZET,PASS,7.35,950.97,960.63,
TC_103,Tìm ca khúc Người Đang Yêu Trung Quân,Edge Cases,SEARCH_TRACK,SEARCH_TRACK,song_title=người đang yêu trung quân,Level 1: SQL Exact -> Level 2: Fuzzy String Matching,00e9MGXtzE1wo3c65ZFjMU,00e9MGXtzE1wo3c65ZFjMU,PASS,1.12,3589.29,3592.32,
TC_104,Bật bài Gam Màu Tối Hustlang Robber,Edge Cases,SEARCH_TRACK,SEARCH_TRACK,song_title=gam màu tối hustlang robber,Level 1: SQL Exact -> Level 2: Fuzzy String Matching,00IgIQXM2cUMaqq0Vzs42m,00IgIQXM2cUMaqq0Vzs42m,PASS,1.05,1970.05,1973.17,
TC_105,Nghe bài Niềm Tin Chiến Thắng Hồng Sơn,Happy Path,SEARCH_TRACK,SEARCH_TRACK,song_title=niềm tin chiến thắng hồng sơn,Level 1: SQL Exact -> Level 2: Fuzzy String Matching,02jFBlMAH8IDpcfnV6O1BX,02jFBlMAH8IDpcfnV6O1BX,PASS,1.43,1517.24,1527.84,
TC_106,Tìm bài Phía Sau Một Chàng Trai,Edge Cases,SEARCH_TRACK,SEARCH_TRACK,song_title=phía sau một chàng trai,Level 1: SQL Exact,00dMFkFoKGYfOFDlVK5wec,00dMFkFoKGYfOFDlVK5wec,PASS,1.29,1003.5,1007.0,
TC_107,Mở bài Cánh Chim Phượng Hoàng của Tùng Dương,Edge Cases,SEARCH_TRACK,SEARCH_TRACK,song_title=cánh chim phượng hoàng; artist=Tùng Dương,Level 1: SQL Exact,01rVuw9puq1gv8jOswOEB1,01rVuw9puq1gv8jOswOEB1,PASS,6.78,957.83,967.15,
TC_108,Tìm bài Tạm Bợ MiiNa,Edge Cases,SEARCH_TRACK,SEARCH_TRACK,song_title=tạm bợ miina,Level 1: SQL Exact -> Level 2: Fuzzy String Matching,00dggIDSzu0KPsK07wAGtZ,00dggIDSzu0KPsK07wAGtZ,PASS,0.99,1313.04,1315.48,
TC_109,tim bai hat de noi cho nghe cu cai,Noise & Robustness,SEARCH_TRACK,SEARCH_TRACK,song_title=de noi cho nghe cu cai,Level 1: SQL Exact -> Level 2: Fuzzy String Matching,00QDC0c7ejbHf9LqXpyg4T,00QDC0c7ejbHf9LqXpyg4T,PASS,13.11,1831.76,1847.07,
TC_110,mở bài xao củng dc tiến luật,Noise & Robustness,SEARCH_TRACK,SEARCH_TRACK,song_title=xao củng dc tiến luật,Level 1: SQL Exact -> Level 2: Fuzzy String Matching,00dxxxvhRedffBoxOqJZET,00dxxxvhRedffBoxOqJZET,PASS,6.95,1343.85,1352.8,
TC_111,bật bài mame vse,Edge Cases,SEARCH_TRACK,SEARCH_TRACK,song_title=mame vse,Level 1: SQL Exact -> Level 2: Fuzzy String Matching,01EEe1TirG0eJc8NIYTQE8,01EEe1TirG0eJc8NIYTQE8,PASS,1.35,1422.1,1425.4,
